id,title,imdbID,spanishTitle,imdbPictureURL,year,rtID,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,rtPictureURL
1,Toy story,114709,Toy story (juguetes),"http://ia.media-imdb.com/images/M/MV5BMTMwNDU0NTY2Nl5BMl5BanBnXkFtZTcwOTUxOTM5Mw@@._V1._SX214_CR0,0,214,314_.jpg",1995,toy_story,9,73,73,0,100,8.5,17,17,0,100,3.7,102338,81,http://content7.flixster.com/movie/10/93/63/10936393_det.jpg
2,Jumanji,113497,Jumanji,"http://ia.media-imdb.com/images/M/MV5BMzM5NjE1OTMxNV5BMl5BanBnXkFtZTcwNDY2MzEzMQ@@._V1._SY314_CR3,0,214,314_.jpg",1995,1068044-jumanji,5.6,28,13,15,46,5.8,5,2,3,40,3.2,44587,61,http://content8.flixster.com/movie/56/79/73/5679734_det.jpg
3,Grumpy Old Men,107050,Dos viejos gruñones,"http://ia.media-imdb.com/images/M/MV5BMTI5MTgyMzE0OF5BMl5BanBnXkFtZTYwNzAyNjg5._V1._SX214_CR0,0,214,314_.jpg",1993,grumpy_old_men,5.9,36,24,12,66,7,6,5,1,83,3.2,10489,66,http://content6.flixster.com/movie/25/60/256020_det.jpg
4,Waiting to Exhale,114885,Esperando un respiro,"http://ia.media-imdb.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1._SY314_CR4,0,214,314_.jpg",1995,waiting_to_exhale,5.6,25,14,11,56,5.5,11,5,6,45,3.3,5666,79,http://content9.flixster.com/movie/10/94/17/10941715_det.jpg
5,Father of the Bride Part II,113041,Vuelve el padre de la novia (Ahora también abuelo),"http://ia.media-imdb.com/images/M/MV5BMTg1NDc2MjExOF5BMl5BanBnXkFtZTcwNjU1NDAzMQ@@._V1._SY314_CR5,0,214,314_.jpg",1995,father_of_the_bride_part_ii,5.3,19,9,10,47,5.4,5,1,4,20,3,13761,64,http://content8.flixster.com/movie/25/54/255426_det.jpg
6,Heat,113277,Heat,"http://ia.media-imdb.com/images/M/MV5BMTM1NDc4ODkxNV5BMl5BanBnXkFtZTcwNTI4ODE3MQ@@._V1._SY314_CR1,0,214,314_.jpg",1995,1068182-heat,7.7,58,50,8,86,7.2,17,14,3,82,3.9,42785,92,http://content9.flixster.com/movie/26/80/268099_det.jpg
7,Sabrina,47437,Sabrina,"http://ia.media-imdb.com/images/M/MV5BMTYyNDM1NTQ5Nl5BMl5BanBnXkFtZTcwMTA5NjEwMg@@._V1._SY314_CR50,0,214,314_.jpg",1954,1018047-sabrina,7.4,31,28,3,90,7.2,5,5,0,100,3.8,12812,87,http://content7.flixster.com/movie/10/93/36/10933669_det.jpg
8,Tom and Huck,112302,Tom y Huck,"http://ia.media-imdb.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1._SY314_CR2,0,214,314_.jpg",1995,tom_and_huck,4.2,8,2,6,25,0,2,1,1,50,2.7,2649,45,http://content9.flixster.com/movie/26/16/261691_det.jpg
9,Sudden Death,114576,Sudden Death: muerte súbita,"http://ia.media-imdb.com/images/M/MV5BMTcwMTU2OTMxNV5BMl5BanBnXkFtZTcwMzg3MTYyMQ@@._V1._SY314_CR0,0,214,314_.jpg",1995,1068470-sudden_death,5.2,32,17,15,53,5.6,9,5,4,55,2.6,3626,40,http://content8.flixster.com/movie/27/91/279122_det.jpg
10,GoldenEye,113189,GoldenEye,"http://ia.media-imdb.com/images/M/MV5BNTE1OTExNjU1M15BMl5BanBnXkFtZTcwMTQzNjAwMQ@@._V1._SX214_CR0,0,214,314_.jpg",1995,goldeneye,6.8,41,33,8,80,6.2,11,7,4,63,3.4,28260,78,http://content9.flixster.com/movie/26/66/266699_det.jpg
11,The American President,112346,El presidente y Miss Wade,"http://ia.media-imdb.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1._SY314_CR5,0,214,314_.jpg",1995,american_president,7,49,44,5,89,7.2,18,16,2,88,3.2,8320,71,http://content7.flixster.com/movie/25/42/254205_det.jpg
12,Dracula: Dead and Loving It,112896,"Drácula, un muerto muy contento y feliz","http://ia.media-imdb.com/images/M/MV5BMTc3MjI0NjA0Nl5BMl5BanBnXkFtZTcwNDYwODUyMQ@@._V1._SY314_CR18,0,214,314_.jpg",1995,dracula_dead_and_loving_it,3,35,3,32,8,3.7,10,2,8,20,2.8,10078,52,http://content8.flixster.com/movie/10/89/17/10891774_det.jpg
13,Balto,112453,Balto. La leyenda del perro esquimal,"http://ia.media-imdb.com/images/M/MV5BMTU4NTE3NDU1MF5BMl5BanBnXkFtZTYwMjg5Mjk5._V1._SY216_CR37,0,214,216_.jpg",1995,balto,5.8,12,6,6,50,0,4,1,3,25,3.2,9195,66,http://content7.flixster.com/movie/25/16/251605_det.jpg
14,Nixon,113987,Nixon,"http://ia.media-imdb.com/images/M/MV5BMTQ4ODUxNTU2OV5BMl5BanBnXkFtZTcwOTIwODMyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1995,nixon,6.7,56,42,14,75,6.1,18,12,6,66,3.5,3256,72,http://content6.flixster.com/movie/28/30/283016_det.jpg
15,Cutthroat Island,112760,La isla de las Cabezas Cortadas,"http://ia.media-imdb.com/images/M/MV5BNjI5MjI5Njk3Ml5BMl5BanBnXkFtZTcwNTQwMTYyMQ@@._V1._SY216_CR39,0,214,216_.jpg",1995,cutthroat_island,4.4,31,14,17,45,4.7,6,3,3,50,2.6,3350,42,http://content6.flixster.com/movie/25/69/256908_det.jpg
16,Casino,112641,"Casino, de Scorsese","http://ia.media-imdb.com/images/M/MV5BMTQ0NDk5NDc5OF5BMl5BanBnXkFtZTYwMDYyNDA5._V1._SX214_CR0,0,214,314_.jpg",1995,1067987-casino,7.2,58,47,11,81,6.3,16,11,5,68,3.9,66463,91,http://content8.flixster.com/movie/10/87/61/10876102_det.jpg
17,Sense and Sensibility,114388,Sentido y sensibilidad,"http://ia.media-imdb.com/images/M/MV5BMTQzNjk2OTk3Nl5BMl5BanBnXkFtZTcwNzczNjYyMQ@@._V1._SY314_CR7,0,214,314_.jpg",1995,1068832-sense_and_sensibility,7.9,49,48,1,97,8.1,14,13,1,92,3.8,32782,88,http://content6.flixster.com/movie/11/12/50/11125040_det.jpg
18,Four Rooms,113101,Four Rooms,"http://ia.media-imdb.com/images/M/MV5BMTcwOTMzODQ5MV5BMl5BanBnXkFtZTcwNjgyMjAwMQ@@._V1._SX214_CR0,0,214,314_.jpg",1995,four_rooms,3.5,42,6,36,14,2.9,11,0,11,0,3.5,14266,72,http://content7.flixster.com/movie/93/49/77/9349773_det.jpg
19,Ace Ventura: When Nature Calls,112281,"Ace Ventura, operación África","http://ia.media-imdb.com/images/M/MV5BMjA0NTc4OTk1Ml5BMl5BanBnXkFtZTcwNjA0NTQzMQ@@._V1._SY314_CR17,0,214,314_.jpg",1995,ace_ventura_when_nature_calls,4.1,25,9,16,36,0,3,1,2,33,3.2,87306,73,http://content7.flixster.com/movie/10/94/18/10941853_det.jpg
20,Money Train,113845,Asalto al tren del dinero,"http://ia.media-imdb.com/images/M/MV5BNDEwNzcyNjkzNl5BMl5BanBnXkFtZTcwNzQyMzYxMQ@@._V1._SY314_CR4,0,214,314_.jpg",1995,money_train,4,24,4,20,16,4.5,5,1,4,20,2.7,5263,38,http://content9.flixster.com/movie/11/12/51/11125103_det.jpg
